ID,Employment Type
0,4
1,0
2,0
3,4
4,5
5,6
6,2
7,0
8,1
9,0
10,6
11,0
12,0
13,3
14,0
15,3
16,0
17,4
18,1
19,1
20,3
21,2
22,5
23,3
24,1
25,1
26,3
27,5
28,4
29,1
30,0
31,0
32,5
33,2
34,2
35,2
36,2
37,4
38,3
39,6
40,0
41,0
42,6
43,6
44,4
45,0
46,2
47,6
48,3
49,6
50,1
51,1
52,3
53,1
54,0
55,6
56,3
57,0
58,2
59,0
60,3
61,3
62,4
63,6
64,4
65,2
66,1
67,3
68,1
69,4
70,0
71,5
72,6
73,2
74,5
75,2
76,0
77,5
78,0
79,0
80,6
81,0
82,3
83,3
84,6
85,0
86,3
87,6
88,0
89,3
90,6
91,0
92,6
93,0
94,0
95,3
96,3
97,5
98,2
99,3
100,5
101,0
102,0
103,1
104,0
105,0
106,0
107,6
108,1
109,6
110,0
111,6
112,6
113,6
114,5
115,5
116,3
117,0
118,4
119,6
120,5
121,4
122,5
123,6
124,0
125,6
126,3
127,0
128,6
129,4
130,0
131,3
132,0
133,1
134,2
135,6
136,3
137,6
138,2
139,6
140,4
141,4
142,6
143,6
144,0
145,1
146,5
147,2
148,3
149,6
150,1
151,1
152,0
153,5
154,0
155,6
156,6
157,6
158,1
159,3
160,0
161,0
162,4
163,0
164,1
165,4
166,3
167,6
168,1
169,0
170,3
171,5
172,0
173,3
174,2
175,0
176,0
177,6
178,4
179,0
180,2
181,4
182,1
183,6
184,0
185,4
186,6
187,3
188,0
189,5
190,1
191,3
192,5
193,1
194,3
195,6
196,3
197,1
198,0
199,6
200,3
201,5
202,6
203,1
204,5
205,1
206,6
207,0
208,5
209,5
210,6
211,6
212,0
213,4
214,1
215,0
216,3
217,3
218,3
219,1
220,6
221,1
222,4
223,0
224,1
225,6
226,1
227,0
228,0
229,3
230,1
231,0
232,3
233,4
234,6
235,2
236,3
237,0
238,5
239,6
240,2
241,3
242,3
243,6
244,3
245,5
246,2
247,0
248,0
249,0
250,6
251,1
252,1
253,3
254,6
255,6
256,6
257,1
258,3
259,2
260,6
261,6
262,0
263,1
264,0
265,4
266,0
267,1
268,0
269,5
