ID,Employment Type
0,318
1,318
2,318
3,318
4,318
5,0
6,1
7,2
8,3
9,4
10,318
11,127
12,318
13,318
14,318
15,318
16,318
17,318
18,318
19,5
20,318
21,6
22,318
23,0
24,318
25,7
26,8
27,318
28,9
29,0
30,318
31,10
32,318
33,187
34,11
35,12
36,318
37,318
38,13
39,318
40,318
41,318
42,0
43,318
44,318
45,318
46,318
47,14
48,318
49,318
50,318
51,318
52,318
53,318
54,318
55,15
56,16
57,318
58,6
59,318
60,0
61,318
62,17
63,318
64,17
65,318
66,0
67,18
68,19
69,17
70,318
71,318
72,20
73,318
74,318
75,318
76,21
77,318
78,88
79,318
80,318
81,318
82,22
83,23
84,20
85,318
86,318
87,56
88,318
89,318
90,318
91,318
92,318
93,24
94,318
95,8
96,25
97,318
98,318
99,13
100,318
101,318
102,318
103,0
104,26
105,318
106,318
107,318
108,318
109,318
110,27
111,0
112,318
113,318
114,318
115,318
116,13
117,318
118,318
119,318
120,318
121,318
122,318
123,318
124,318
125,318
126,20
127,318
128,0
129,318
130,318
131,318
132,298
133,28
134,29
135,0
136,291
137,30
138,318
139,31
140,318
141,318
142,318
143,221
144,32
145,318
146,33
147,34
148,318
149,20
150,318
151,318
152,318
153,318
154,318
155,35
156,318
157,318
158,36
159,37
160,318
161,318
162,318
163,318
164,318
165,318
166,16
167,304
168,318
169,318
170,318
171,318
172,318
173,318
174,318
175,318
176,318
177,318
178,17
179,318
180,318
181,38
182,36
183,39
184,40
185,17
186,0
187,16
188,318
189,318
190,0
191,0
192,318
193,318
194,8
195,318
196,8
197,41
198,42
199,0
200,43
201,318
202,0
203,318
204,318
205,318
206,318
207,318
208,318
209,318
210,318
211,318
212,318
213,318
214,318
215,318
216,44
217,45
218,318
219,318
220,0
221,318
222,318
223,318
224,0
225,20
226,318
227,318
228,10
229,318
230,318
231,318
232,8
233,318
234,46
235,318
236,47
237,318
238,318
239,0
240,34
241,318
242,318
243,318
244,318
245,318
246,318
247,318
248,318
249,318
250,48
251,318
252,28
253,233
254,278
255,318
256,318
257,318
258,49
259,318
260,318
261,318
262,318
263,0
264,318
265,318
266,42
267,318
268,10
269,318
270,318
271,26
272,318
273,318
274,50
275,51
276,221
277,318
278,318
279,318
280,318
281,20
282,17
283,318
284,318
285,0
286,318
287,318
288,318
289,52
290,318
291,318
292,318
293,318
294,318
295,318
296,318
297,318
298,318
299,318
300,41
301,318
302,318
303,312
304,53
305,318
306,318
307,318
308,226
309,54
310,55
311,318
312,20
313,8
314,318
315,56
316,0
317,318
318,57
319,318
320,318
321,318
322,58
323,318
324,318
325,59
326,60
327,318
328,318
329,318
330,318
331,318
332,318
333,318
334,318
335,318
336,318
337,18
338,61
339,62
340,63
341,318
342,318
343,57
344,43
345,318
346,318
347,318
348,24
349,17
350,318
351,318
352,32
353,13
354,318
355,318
356,64
357,17
358,318
359,318
360,6
361,0
362,318
363,31
364,318
365,318
366,318
367,13
368,18
369,318
370,318
371,318
372,31
373,20
374,318
375,318
376,99
377,318
378,318
379,318
380,318
381,318
382,0
383,318
384,65
385,318
386,318
387,318
388,66
389,67
390,34
391,281
392,318
393,20
394,318
395,318
396,318
397,318
398,318
399,318
400,318
401,23
402,0
403,318
404,318
405,318
406,318
407,318
408,318
409,318
410,0
411,318
412,318
413,318
414,318
415,318
416,68
417,318
418,318
419,318
420,318
421,318
422,318
423,318
424,318
425,318
426,69
427,318
428,318
429,318
430,318
431,70
432,318
433,318
434,318
435,17
436,0
437,71
438,318
439,318
440,318
441,318
442,72
443,175
444,318
445,318
446,8
447,318
448,318
449,318
450,318
451,318
452,318
453,73
454,318
455,318
456,318
457,318
458,318
459,32
460,318
461,318
462,0
463,318
464,74
465,282
466,318
467,318
468,318
469,318
470,16
471,318
472,318
473,318
474,8
475,75
476,96
477,318
478,76
479,318
480,292
481,77
482,318
483,78
484,318
485,318
486,318
487,318
488,16
489,79
490,318
491,182
492,59
493,318
494,70
495,13
496,318
497,318
498,318
499,20
500,318
501,0
502,318
503,0
504,318
505,318
506,39
507,318
508,318
509,77
510,318
511,318
512,41
513,17
514,6
515,318
516,0
517,318
518,318
519,318
520,166
521,318
522,0
523,318
524,318
525,80
526,318
527,318
528,318
529,6
530,318
531,81
532,318
533,318
534,318
535,10
536,34
537,318
538,318
539,318
540,318
541,82
542,318
543,318
544,318
545,318
546,318
547,318
548,318
549,318
550,0
551,318
552,318
553,164
554,318
555,318
556,318
557,0
558,318
559,55
560,318
561,318
562,318
563,318
564,83
565,10
566,318
567,318
568,318
569,40
570,84
571,318
572,318
573,318
574,318
575,318
576,318
577,318
578,318
579,45
580,318
581,85
582,86
583,318
584,318
585,114
586,318
587,318
588,318
589,18
590,318
591,84
592,17
593,20
594,318
595,8
596,87
597,318
598,318
599,318
600,318
601,0
602,80
603,318
604,318
605,318
606,17
607,88
608,318
609,13
610,270
611,318
612,89
613,80
614,318
615,318
616,136
617,318
618,318
619,179
620,90
621,20
622,318
623,318
624,318
625,0
626,318
627,318
628,31
629,318
630,91
631,55
632,318
633,318
634,318
635,318
636,0
637,318
638,318
639,318
640,318
641,17
642,318
643,92
644,318
645,318
646,318
647,318
648,318
649,16
650,318
651,318
652,318
653,318
654,318
655,0
656,318
657,318
658,318
659,12
660,318
661,93
662,318
663,318
664,318
665,318
666,318
667,318
668,8
669,218
670,318
671,318
672,84
673,318
674,318
675,318
676,318
677,318
678,318
679,318
680,0
681,318
682,318
683,318
684,318
685,318
686,41
687,318
688,318
689,10
690,318
691,318
692,318
693,318
694,13
695,318
696,318
697,318
698,13
699,318
700,94
701,318
702,318
703,318
704,318
705,95
706,254
707,95
708,74
709,78
710,318
711,96
712,318
713,12
714,265
715,20
716,318
717,318
718,318
719,47
720,97
721,318
722,318
723,318
724,17
725,12
726,318
727,318
728,24
729,318
730,98
731,318
732,318
733,13
734,318
735,318
736,20
737,12
738,318
739,318
740,302
741,318
742,318
743,318
744,318
745,318
746,318
747,318
748,318
749,318
750,318
751,95
752,61
753,318
754,318
755,318
756,318
757,318
