ID,Employment Type
0,3
1,0
2,0
3,2
4,2
5,2
6,0
7,0
8,1
9,0
10,2
11,0
12,0
13,1
14,0
15,1
16,0
17,2
18,3
19,1
20,1
21,1
22,4
23,1
24,3
25,1
26,1
27,1
28,1
29,1
30,0
31,0
32,2
33,0
34,0
35,1
36,1
37,1
38,1
39,2
40,0
41,0
42,2
43,2
44,1
45,0
46,1
47,2
48,1
49,2
50,3
51,1
52,1
53,3
54,0
55,2
56,1
57,0
58,1
59,0
60,1
61,1
62,2
63,2
64,2
65,0
66,1
67,1
68,1
69,2
70,0
71,4
72,2
73,0
74,4
75,1
76,0
77,2
78,0
79,0
80,0
81,0
82,1
83,1
84,2
85,0
86,1
87,2
88,0
89,1
90,2
91,0
92,2
93,0
94,0
95,1
96,1
97,1
98,1
99,1
100,0
101,0
102,0
103,1
104,1
105,0
106,0
107,2
108,3
109,2
110,0
111,2
112,0
113,2
114,2
115,4
116,1
117,0
118,2
119,2
120,1
121,2
122,1
123,1
124,0
125,2
126,1
127,0
128,2
129,1
130,0
131,1
132,0
133,1
134,0
135,1
136,1
137,2
138,0
139,2
140,2
141,1
142,2
143,0
144,0
145,3
146,2
147,1
148,1
149,2
150,3
151,2
152,0
153,4
154,0
155,2
156,2
157,2
158,1
159,1
160,0
161,0
162,2
163,0
164,3
165,1
166,1
167,1
168,1
169,0
170,1
171,1
172,0
173,1
174,1
175,0
176,1
177,2
178,2
179,0
180,1
181,1
182,1
183,2
184,0
185,2
186,2
187,1
188,0
189,1
190,1
191,1
192,0
193,3
194,1
195,2
196,1
197,3
198,0
199,2
200,1
201,4
202,2
203,1
204,4
205,1
206,2
207,0
208,2
209,1
210,2
211,2
212,0
213,2
214,1
215,0
216,1
217,1
218,1
219,3
220,2
221,2
222,1
223,0
224,1
225,2
226,1
227,0
228,0
229,1
230,1
231,0
232,1
233,2
234,2
235,1
236,1
237,0
238,2
239,2
240,1
241,1
242,1
243,2
244,1
245,1
246,1
247,0
248,0
249,0
250,2
251,3
252,1
253,1
254,2
255,0
256,2
257,3
258,1
259,0
260,2
261,2
262,0
263,1
264,0
265,1
266,0
267,1
268,0
269,4
270,4
271,1
272,0
273,0
274,0
275,2
276,0
277,1
278,2
279,2
280,1
281,2
282,1
283,2
284,2
285,2
286,3
287,2
288,1
289,0
290,2
291,3
292,0
293,2
294,2
295,0
296,2
297,1
298,0
299,1
300,3
301,0
302,1
303,2
304,1
305,1
306,1
307,3
308,1
309,2
310,0
311,1
312,1
313,1
314,2
315,2
316,1
317,4
318,1
319,0
320,2
321,0
322,2
323,0
324,0
325,2
326,2
327,0
328,0
329,1
330,2
331,0
332,2
333,3
334,0
335,2
336,0
337,1
338,0
339,0
340,3
341,2
342,0
343,1
344,1
345,1
346,0
347,2
348,0
349,2
350,0
351,0
352,0
353,1
354,0
355,1
356,1
357,2
358,0
359,0
360,1
361,1
362,0
363,2
364,0
365,1
366,2
367,1
368,1
369,4
370,0
371,1
372,2
373,2
374,0
375,0
376,0
377,2
378,0
379,0
380,1
381,1
382,2
383,4
384,0
385,3
386,0
387,2
388,0
389,2
390,1
391,0
392,0
393,2
394,2
395,0
396,4
397,1
398,0
399,2
400,0
401,1
402,1
403,1
404,0
405,0
406,1
407,0
408,1
409,2
410,1
411,1
412,0
413,2
414,2
415,0
416,0
417,1
418,0
419,4
420,0
421,2
422,4
423,0
424,0
425,2
426,0
427,1
428,1
429,1
430,2
431,0
432,2
433,2
434,0
435,2
436,2
437,0
438,3
439,3
440,1
441,0
442,0
443,1
444,2
445,4
446,1
447,1
448,2
449,0
450,1
451,0
452,0
453,1
454,1
455,2
456,1
457,0
458,2
459,0
460,4
461,0
462,2
463,3
464,1
465,0
466,2
467,0
468,1
469,0
470,1
471,2
472,1
473,3
474,1
475,0
476,0
477,4
478,2
479,4
480,0
481,1
482,1
483,0
484,1
485,1
486,2
487,1
488,1
489,1
490,1
491,1
492,2
493,2
494,0
495,1
496,2
497,1
498,1
499,2
500,2
501,2
502,2
503,1
504,0
505,3
506,2
507,2
508,1
509,1
510,2
511,2
512,3
513,1
514,1
515,0
516,2
517,2
518,0
519,2
520,0
521,2
522,1
523,1
524,2
525,2
526,1
527,0
528,0
529,1
530,1
531,1
532,1
533,3
534,2
535,0
536,1
537,2
538,1
539,0
540,1
541,2
542,1
543,0
544,0
545,0
546,3
547,2
548,1
549,4
550,2
551,2
552,1
553,1
554,1
555,2
556,3
557,2
558,0
559,0
560,1
561,4
562,0
563,1
564,2
565,0
566,0
567,1
568,1
569,0
570,2
571,1
572,0
573,1
574,0
575,1
576,3
577,0
578,1
579,1
580,2
581,2
582,2
583,0
584,1
585,1
586,2
587,0
588,0
589,1
590,0
591,2
592,1
593,2
594,0
595,1
596,1
597,1
598,1
599,1
600,0
601,2
602,1
603,3
604,1
605,0
606,2
607,0
608,0
609,1
610,1
611,0
612,3
613,1
614,1
615,1
616,0
617,2
618,0
619,2
620,0
621,2
622,4
623,2
624,1
625,2
626,1
627,0
628,2
629,1
630,1
631,0
632,3
633,1
634,2
635,4
636,2
637,0
638,2
639,0
640,0
641,1
642,4
643,1
644,1
645,0
646,2
647,0
648,2
649,1
650,0
651,0
652,3
653,1
654,1
655,2
656,1
657,0
658,0
659,1
660,0
661,2
662,0
663,3
664,0
665,2
666,1
667,2
668,1
669,2
670,2
671,0
672,2
673,0
674,1
675,0
676,2
677,2
678,1
679,1
680,2
681,0
682,1
683,2
684,0
685,1
686,3
687,2
688,1
689,0
690,1
691,3
692,2
693,1
694,1
695,2
696,1
697,2
698,1
699,1
700,1
701,1
702,2
703,1
704,1
705,1
706,3
707,1
708,1
709,0
710,0
711,0
712,2
713,1
714,1
715,2
716,3
717,1
718,2
719,1
720,1
721,2
722,0
723,1
724,2
725,1
726,2
727,2
728,0
729,1
730,2
731,4
732,2
733,1
734,0
735,0
736,2
737,1
738,4
739,2
740,2
741,1
742,1
743,1
744,1
745,0
746,2
747,0
748,1
749,2
750,1
751,1
752,0
753,2
754,0
755,2
756,0
757,0
758,1
759,1
760,2
761,0
762,0
763,2
764,0
765,1
766,1
767,2
768,3
769,1
770,0
771,0
772,1
773,0
774,2
775,0
776,1
777,0
778,0
779,0
780,1
781,1
782,2
783,2
784,2
785,1
786,2
787,1
788,1
789,1
790,1
791,1
792,0
793,3
794,3
795,0
796,0
797,2
798,2
799,1
800,1
801,1
802,2
803,1
804,1
805,1
806,1
807,0
808,1
809,2
810,2
811,1
812,1
813,2
814,0
815,1
816,1
817,3
818,0
819,2
820,1
821,1
822,0
823,1
824,1
825,0
826,0
827,4
828,2
829,2
830,2
831,2
832,2
833,3
834,1
835,0
836,1
837,1
838,0
839,1
840,1
841,3
842,0
843,0
844,2
845,2
846,1
847,0
848,1
849,2
850,1
851,1
852,0
853,2
854,4
855,0
856,1
857,2
858,0
859,3
860,1
861,1
862,1
863,0
864,0
865,1
866,1
867,3
868,2
869,0
870,2
871,3
872,1
873,1
874,0
875,2
876,3
877,1
878,1
879,1
880,0
881,0
882,2
883,1
884,1
885,2
886,2
887,1
888,2
889,1
890,1
891,1
892,2
893,3
894,4
895,1
896,4
897,4
898,0
899,2
900,1
901,2
902,0
903,0
904,1
905,0
906,1
907,2
908,1
909,2
910,1
911,2
912,0
913,0
914,2
915,1
916,1
917,0
918,0
919,0
920,1
921,1
922,3
923,3
924,0
925,2
926,1
927,0
928,0
929,2
930,0
931,0
932,0
933,1
934,0
935,1
936,1
937,0
938,1
939,0
940,2
941,2
942,2
943,2
944,1
945,1
946,3
947,1
948,3
949,0
950,1
951,2
952,0
953,1
954,1
955,1
956,1
957,1
958,3
959,1
960,2
961,0
962,0
963,1
964,0
965,2
966,1
967,2
968,2
969,1
970,2
971,2
972,1
973,1
974,1
975,1
976,2
977,1
978,1
979,1
980,2
981,1
982,1
983,0
984,2
985,0
986,0
987,0
988,2
989,1
990,2
991,2
992,0
993,2
994,0
995,1
996,2
997,1
998,1
999,3
1000,1
1001,0
1002,1
1003,1
1004,0
1005,1
1006,3
1007,0
1008,1
1009,0
1010,1
1011,0
1012,2
1013,2
1014,0
1015,2
1016,2
1017,1
1018,1
1019,1
1020,1
1021,3
1022,2
1023,0
1024,2
1025,2
1026,2
1027,1
1028,2
1029,1
1030,1
1031,0
1032,0
1033,2
1034,1
1035,0
1036,1
1037,2
1038,2
1039,1
1040,0
1041,1
1042,0
1043,2
1044,1
1045,1
1046,1
1047,0
1048,0
1049,1
1050,2
1051,3
1052,0
1053,1
1054,1
1055,0
1056,2
1057,0
1058,0
1059,1
1060,3
1061,1
1062,1
1063,0
1064,0
1065,1
1066,1
1067,1
1068,3
1069,1
1070,2
1071,0
1072,1
1073,1
1074,1
1075,1
1076,2
1077,1
1078,2
1079,1
1080,1
1081,0
1082,0
1083,2
1084,0
1085,1
1086,0
1087,0
1088,0
1089,0
1090,0
1091,1
1092,2
1093,1
1094,3
1095,0
1096,2
1097,1
1098,1
1099,2
1100,2
1101,2
1102,1
1103,1
1104,1
1105,3
1106,1
1107,1
1108,1
1109,1
1110,4
1111,2
1112,2
1113,4
1114,0
1115,1
1116,1
1117,0
1118,0
1119,2
1120,1
1121,1
1122,0
1123,1
1124,1
1125,2
1126,1
1127,0
1128,0
1129,1
1130,2
1131,2
1132,0
1133,3
1134,0
1135,2
1136,2
1137,2
1138,3
1139,0
1140,2
1141,2
1142,0
1143,1
1144,1
1145,0
1146,3
1147,2
1148,0
1149,0
1150,2
1151,1
1152,0
1153,1
1154,0
1155,1
1156,4
1157,3
1158,2
1159,0
1160,2
1161,1
1162,0
1163,0
1164,2
1165,0
1166,0
1167,3
1168,2
1169,0
1170,0
1171,0
1172,1
1173,1
1174,1
1175,1
1176,0
1177,0
1178,1
1179,1
1180,0
1181,0
1182,2
1183,2
1184,1
1185,0
1186,3
1187,2
1188,2
1189,2
1190,0
1191,2
1192,0
1193,1
1194,0
1195,1
1196,1
1197,2
1198,1
1199,3
1200,1
1201,1
1202,1
1203,1
1204,4
1205,1
1206,1
1207,1
1208,1
1209,0
1210,2
1211,4
1212,0
1213,1
1214,1
1215,4
1216,1
1217,3
1218,1
1219,0
1220,2
1221,1
1222,1
1223,0
1224,2
1225,1
1226,2
1227,2
1228,2
1229,4
1230,2
1231,1
1232,0
1233,1
1234,1
1235,1
1236,2
1237,0
1238,1
1239,1
1240,1
1241,0
1242,2
1243,1
1244,3
1245,0
1246,0
1247,0
1248,1
1249,2
1250,2
1251,1
1252,1
1253,0
1254,0
1255,0
1256,1
1257,1
1258,0
1259,4
1260,1
1261,2
1262,0
1263,0
1264,2
1265,2
1266,1
1267,0
1268,0
1269,2
1270,1
1271,1
1272,4
1273,4
1274,1
1275,4
1276,1
1277,1
1278,4
1279,1
1280,1
1281,0
1282,0
1283,2
1284,0
1285,2
1286,2
1287,2
1288,2
1289,1
1290,1
1291,1
1292,2
1293,0
1294,1
1295,0
1296,0
1297,0
1298,2
1299,1
1300,0
1301,1
1302,1
1303,2
1304,1
1305,1
1306,1
1307,0
1308,2
1309,2
1310,1
1311,1
1312,1
1313,0
1314,0
1315,1
1316,0
1317,1
1318,0
1319,2
1320,2
1321,2
1322,2
1323,1
1324,1
1325,2
1326,1
1327,1
1328,3
1329,1
1330,1
1331,1
1332,1
1333,3
1334,1
1335,1
1336,0
1337,1
1338,2
1339,0
1340,1
1341,2
1342,0
1343,2
1344,1
1345,1
1346,1
1347,2
1348,1
1349,2
1350,2
1351,2
1352,0
1353,2
1354,1
1355,0
1356,2
1357,0
1358,0
1359,0
1360,1
1361,0
1362,2
1363,1
1364,0
1365,2
1366,1
1367,1
1368,0
1369,1
1370,0
1371,3
1372,0
1373,3
1374,1
1375,1
1376,0
1377,2
1378,1
1379,2
1380,0
1381,2
1382,2
1383,1
1384,2
1385,2
1386,0
1387,3
1388,0
1389,0
1390,2
1391,2
1392,4
1393,0
1394,3
1395,2
1396,2
1397,0
1398,1
1399,2
1400,1
1401,2
1402,2
1403,1
1404,1
1405,1
1406,1
1407,1
1408,2
1409,4
1410,0
1411,2
1412,1
1413,0
1414,2
1415,1
1416,2
1417,1
1418,0
1419,3
1420,1
1421,1
1422,1
1423,0
1424,2
1425,0
1426,0
1427,1
1428,1
1429,0
1430,1
1431,1
1432,1
1433,0
1434,1
1435,1
1436,3
1437,0
1438,2
1439,1
1440,2
1441,3
1442,2
1443,2
1444,1
1445,2
1446,0
1447,3
1448,0
1449,2
1450,0
1451,1
1452,1
1453,0
1454,1
1455,2
1456,2
1457,0
1458,1
1459,3
1460,2
1461,1
1462,1
1463,0
1464,1
1465,1
1466,1
1467,2
1468,1
1469,1
1470,3
1471,0
1472,1
1473,0
1474,1
1475,2
1476,2
1477,2
1478,2
1479,2
1480,0
1481,0
1482,0
1483,2
1484,1
1485,1
1486,2
1487,3
1488,1
1489,1
1490,0
1491,1
1492,0
1493,0
1494,1
1495,0
1496,1
1497,0
1498,1
1499,2
1500,1
1501,1
1502,0
1503,2
1504,2
1505,2
1506,0
1507,1
1508,1
1509,1
1510,1
1511,1
1512,0
1513,1
1514,1
1515,1
1516,1
1517,4
1518,2
1519,1
1520,0
1521,1
1522,0
1523,1
1524,1
1525,1
1526,0
1527,2
1528,2
1529,2
1530,4
1531,2
1532,0
1533,0
1534,0
1535,1
1536,1
1537,2
1538,1
1539,1
1540,2
1541,3
1542,0
1543,2
1544,0
1545,2
1546,1
1547,0
1548,0
1549,0
1550,1
1551,0
1552,1
1553,0
1554,0
1555,1
1556,1
1557,3
1558,0
1559,2
1560,1
1561,2
1562,0
1563,0
1564,0
1565,2
1566,1
1567,2
1568,0
1569,1
1570,1
1571,1
1572,0
1573,2
1574,1
1575,2
1576,2
1577,1
1578,0
1579,0
1580,2
1581,1
1582,1
1583,2
1584,0
1585,0
1586,0
1587,2
1588,0
1589,1
1590,2
1591,0
1592,0
1593,4
1594,2
1595,1
1596,0
1597,0
1598,1
1599,0
1600,1
1601,2
1602,4
1603,1
1604,0
1605,1
1606,0
1607,1
1608,0
1609,2
1610,1
1611,1
1612,1
1613,1
1614,2
1615,3
1616,1
1617,3
1618,0
1619,1
1620,1
1621,0
1622,0
1623,2
1624,1
1625,0
1626,1
1627,0
1628,1
1629,3
1630,2
1631,1
1632,2
1633,1
1634,3
1635,1
1636,0
1637,0
1638,0
1639,0
1640,2
1641,2
1642,0
1643,1
1644,2
1645,3
1646,1
1647,0
1648,0
1649,0
1650,0
1651,0
1652,0
1653,0
1654,0
1655,1
1656,0
1657,2
1658,2
1659,1
1660,3
1661,1
1662,1
1663,0
1664,2
1665,0
1666,4
1667,1
1668,2
1669,2
1670,3
1671,1
1672,2
1673,0
1674,1
1675,2
1676,1
1677,1
1678,1
1679,0
1680,0
1681,0
1682,2
1683,1
1684,1
1685,1
1686,2
1687,1
1688,2
1689,1
1690,2
1691,2
1692,0
1693,2
1694,0
1695,2
1696,1
1697,2
1698,0
1699,1
1700,1
1701,1
1702,3
1703,0
1704,1
1705,1
1706,1
1707,2
1708,4
1709,0
1710,2
1711,1
1712,0
1713,1
1714,2
1715,2
1716,1
1717,2
1718,0
1719,2
1720,1
1721,1
1722,3
1723,2
1724,1
1725,1
1726,2
1727,1
1728,0
1729,3
1730,1
1731,0
1732,2
1733,2
1734,1
1735,1
1736,2
1737,1
1738,1
1739,0
1740,4
1741,0
1742,1
1743,4
1744,2
1745,0
1746,2
1747,2
1748,1
1749,2
1750,1
1751,2
