ID,Employment Type
0,3
1,4
2,5
3,5
4,5
5,2
6,5
7,5
8,3
9,7
10,2
11,7
12,1
13,4
14,0
15,4
16,7
17,5
18,2
19,5
20,5
21,4
22,6
23,4
24,3
25,5
26,4
27,6
28,3
29,5
30,4
31,4
32,5
33,4
34,5
35,4
36,4
37,5
38,4
39,5
40,4
41,1
42,2
43,2
44,0
45,1
46,4
47,5
48,4
49,5
50,3
51,3
52,4
53,3
54,1
55,2
56,4
57,5
58,4
59,4
60,4
61,4
62,5
63,2
64,5
65,5
66,4
67,5
68,3
69,5
70,7
71,6
72,5
73,5
74,6
75,4
76,1
77,5
78,7
79,4
80,2
81,7
82,4
83,4
84,5
85,1
86,4
87,5
88,7
89,4
90,2
91,7
92,2
93,5
94,1
95,4
96,4
97,0
98,4
99,4
100,7
101,1
102,5
103,5
104,4
105,7
106,1
107,2
108,3
109,2
110,4
111,5
112,7
113,5
114,2
115,6
116,4
117,7
118,5
119,2
120,0
121,2
122,0
123,5
124,7
125,2
126,5
127,5
128,2
129,0
130,1
131,4
132,7
133,4
134,5
135,5
136,5
137,5
138,5
139,2
140,2
141,0
142,2
143,7
144,7
145,5
146,2
147,4
148,5
149,5
150,3
151,2
152,5
153,6
154,7
155,2
156,2
157,2
158,3
159,4
160,1
161,4
162,2
163,7
164,3
165,5
166,4
167,5
168,5
169,1
170,4
171,4
172,7
173,4
174,5
175,4
176,4
177,2
178,5
179,1
180,4
181,0
182,3
183,5
184,7
185,5
186,5
187,4
188,1
189,6
190,4
191,4
192,7
193,3
194,5
195,5
196,4
197,3
198,5
199,2
200,5
201,1
202,5
203,3
204,6
205,4
206,5
207,7
208,5
209,6
210,2
211,2
212,1
213,5
214,3
215,7
216,4
217,4
218,4
219,3
220,2
221,2
222,3
223,1
224,5
225,5
226,3
227,4
228,5
229,4
230,4
231,4
232,4
233,2
234,5
235,4
236,4
237,7
238,2
239,5
240,4
241,5
242,5
243,2
244,5
245,0
246,4
247,1
248,1
249,1
250,5
251,5
252,4
253,4
254,5
255,2
256,2
257,3
258,4
259,4
260,5
261,2
262,1
263,5
264,4
265,3
266,5
267,3
268,5
269,6
270,6
271,4
272,4
273,5
274,4
275,2
276,7
277,5
278,2
279,5
280,5
281,2
282,4
283,2
284,2
285,2
286,3
287,2
288,0
289,4
290,5
291,6
292,1
293,5
294,2
295,1
296,5
297,5
298,4
299,6
300,3
301,7
302,4
303,5
304,4
305,5
306,0
307,3
308,0
309,2
310,5
311,5
312,5
313,5
314,2
315,5
316,4
317,6
318,4
319,7
320,5
321,1
322,5
323,1
324,5
325,5
326,5
327,5
328,7
329,4
330,2
331,5
332,5
333,3
334,5
335,2
336,1
337,5
338,4
339,4
340,3
341,5
342,7
343,4
344,5
345,5
346,4
347,2
348,5
349,5
350,1
351,4
352,7
353,4
354,1
355,3
356,4
357,5
358,5
359,5
360,4
361,4
362,4
363,2
364,5
365,5
366,2
367,4
368,5
369,6
370,1
371,5
372,2
373,5
374,1
375,7
376,1
377,2
378,7
379,1
380,5
381,5
382,5
383,6
384,4
385,3
386,4
387,2
388,4
389,5
390,4
391,7
392,7
393,5
394,2
395,2
396,5
397,5
398,4
399,5
400,1
401,4
402,5
403,0
404,1
405,7
406,0
407,1
408,4
409,5
410,4
411,5
412,7
413,2
414,5
415,4
416,7
417,4
418,7
419,6
420,1
421,5
422,6
423,1
424,5
425,5
426,7
427,5
428,5
429,5
430,2
431,7
432,5
433,5
434,7
435,5
436,5
437,7
438,3
439,3
440,0
441,1
442,1
443,4
444,5
445,6
446,4
447,4
448,5
449,5
450,5
451,4
452,5
453,5
454,4
455,2
456,3
457,7
458,5
459,7
460,6
461,4
462,2
463,3
464,5
465,4
466,5
467,1
468,3
469,5
470,4
471,2
472,4
473,3
474,4
475,7
476,7
477,5
478,5
479,6
480,1
481,5
482,5
483,7
484,4
485,4
486,2
487,4
488,4
489,5
490,0
491,5
492,5
493,2
494,7
495,4
496,5
497,4
498,4
499,5
500,5
501,2
502,2
503,4
504,1
505,3
506,5
507,5
508,4
509,4
510,2
511,2
512,3
513,5
514,4
515,4
516,5
517,2
518,1
519,5
520,7
521,2
522,5
523,0
524,5
525,5
526,4
527,4
528,1
529,4
530,4
531,4
532,0
533,3
534,2
535,5
536,4
537,2
538,4
539,1
540,4
541,2
542,0
543,7
544,1
545,0
546,2
547,2
548,0
549,6
550,2
551,5
552,0
553,5
554,5
555,2
556,3
557,5
558,4
559,4
560,4
561,6
562,1
563,4
564,5
565,4
566,4
567,5
568,0
569,7
570,2
571,0
572,1
573,4
574,7
575,0
576,3
577,1
578,4
579,4
580,2
581,5
582,5
583,5
584,5
585,4
586,2
587,1
588,7
589,5
590,5
591,2
592,5
593,5
594,1
595,4
596,0
597,4
598,5
599,4
600,4
601,5
602,5
603,3
604,4
605,1
606,5
607,7
608,4
609,4
610,5
611,1
612,3
613,5
614,3
615,5
616,7
617,5
618,4
619,5
620,7
621,5
622,1
623,5
624,4
625,5
626,4
627,7
628,2
629,4
630,5
631,4
632,3
633,4
634,2
635,6
636,5
637,7
638,5
639,4
640,4
641,5
642,2
643,4
644,0
645,5
646,5
647,1
648,5
649,4
650,1
651,5
652,2
653,4
654,4
655,2
656,4
657,1
658,1
659,4
660,4
661,5
662,1
663,3
664,7
665,2
666,0
667,2
668,4
669,2
670,2
671,7
672,2
673,7
674,4
675,5
676,2
677,2
678,5
679,4
680,5
681,1
682,5
683,2
684,4
685,0
686,3
687,2
688,4
689,5
690,5
691,3
692,2
693,4
694,4
695,2
696,0
697,5
698,4
699,0
700,4
701,4
702,2
703,4
704,0
705,4
706,3
707,4
708,5
709,7
710,0
711,7
712,5
713,4
714,4
715,5
716,5
717,3
718,5
719,4
720,4
721,5
722,7
723,4
724,5
725,4
726,2
727,2
728,5
729,4
730,5
731,2
732,5
733,4
734,1
735,7
736,5
737,4
738,6
739,5
740,2
741,4
742,0
743,0
744,5
745,4
746,5
747,5
748,3
749,2
750,4
751,4
752,5
753,2
754,1
755,2
756,1
757,4
758,0
759,4
760,2
761,7
762,1
763,5
764,7
765,5
766,4
767,5
768,3
769,4
770,5
771,1
772,4
773,5
774,5
775,1
776,4
777,5
778,7
779,1
780,4
781,4
782,2
783,5
784,5
785,4
786,5
787,4
788,4
789,5
790,4
791,0
792,1
793,3
794,3
795,5
796,1
797,2
798,2
799,4
800,4
801,4
802,2
803,5
804,4
805,6
806,4
807,1
808,0
809,2
810,5
811,4
812,0
813,2
814,1
815,5
816,3
817,3
818,1
819,2
820,5
821,0
822,7
823,0
824,5
825,7
826,5
827,6
828,5
829,2
830,5
831,5
832,5
833,3
834,4
835,4
836,5
837,5
838,1
839,4
840,4
841,3
842,4
843,4
844,5
845,2
846,5
847,1
848,5
849,2
850,5
851,4
852,7
853,2
854,6
855,5
856,4
857,2
858,7
859,3
860,4
861,4
862,5
863,4
864,4
865,0
866,3
867,3
868,5
869,4
870,2
871,3
872,4
873,5
874,5
875,2
876,3
877,4
878,4
879,5
880,5
881,7
882,2
883,4
884,6
885,2
886,5
887,4
888,2
889,5
890,0
891,5
892,2
893,3
894,6
895,0
896,6
897,6
898,7
899,5
900,4
901,5
902,4
903,7
904,4
905,5
906,0
907,5
908,6
909,7
910,0
911,5
912,1
913,1
914,5
915,4
916,4
917,1
918,1
919,4
920,4
921,4
922,5
923,3
924,7
925,5
926,5
927,2
928,5
929,2
930,1
931,5
932,7
933,4
934,5
935,4
936,5
937,4
938,4
939,5
940,2
941,2
942,5
943,5
944,5
945,5
946,3
947,4
948,3
949,7
950,4
951,5
952,1
953,4
954,5
955,5
956,4
957,5
958,3
959,0
960,5
961,7
962,7
963,3
964,4
965,5
966,5
967,5
968,2
969,5
970,2
971,2
